Date,Open,High,Low,Close,Adj Close,Volume
2023-08-04 00:00:00+00:00,210.38999938964844,215.63999938964844,209.4199981689453,213.6999969482422,209.07212829589844,2888600
2023-08-07 00:00:00+00:00,216.0,218.9199981689453,214.00999450683594,218.72999572753906,213.9932098388672,1524200
2023-08-08 00:00:00+00:00,215.0,217.5,213.25999450683594,216.88999938964844,212.19305419921875,1862400
2023-08-09 00:00:00+00:00,217.3800048828125,218.67999267578125,214.1300048828125,214.3699951171875,209.7276153564453,2069400
2023-08-10 00:00:00+00:00,217.6999969482422,218.61000061035156,210.97000122070312,211.97999572753906,207.38938903808594,1750600
2023-08-11 00:00:00+00:00,209.22000122070312,209.22000122070312,202.91000366210938,204.1999969482422,199.7778778076172,2703800
2023-08-14 00:00:00+00:00,203.10000610351562,207.35000610351562,202.55999755859375,207.25,202.7618408203125,1757300
2023-08-15 00:00:00+00:00,205.07000732421875,205.47999572753906,200.85000610351562,201.74000549316406,197.37115478515625,1944000
2023-08-16 00:00:00+00:00,202.4199981689453,202.9600067138672,195.7899932861328,196.74000549316406,192.47943115234375,2400400
2023-08-17 00:00:00+00:00,197.80999755859375,198.25,193.61000061035156,194.52999877929688,190.31727600097656,1970200
2023-08-18 00:00:00+00:00,192.5500030517578,197.7899932861328,192.39999389648438,196.57000732421875,192.3131103515625,1989300
2023-08-21 00:00:00+00:00,196.57000732421875,202.5500030517578,196.57000732421875,201.6199951171875,197.25375366210938,1946300
2023-08-22 00:00:00+00:00,203.75,204.2899932861328,198.55999755859375,199.66000366210938,195.336181640625,1428500
2023-08-23 00:00:00+00:00,193.5,202.27999877929688,193.5,201.10000610351562,196.74501037597656,2256800
2023-08-24 00:00:00+00:00,203.27000427246094,203.2899932861328,193.22999572753906,193.82000732421875,189.62266540527344,2888100
2023-08-25 00:00:00+00:00,194.80999755859375,196.88999938964844,193.08999633789062,196.1999969482422,191.95111083984375,2358800
2023-08-28 00:00:00+00:00,197.50999450683594,200.80999755859375,197.50999450683594,199.22999572753906,194.91549682617188,1456600
2023-08-29 00:00:00+00:00,197.25,205.9600067138672,197.25,205.16000366210938,200.71710205078125,1683400
2023-08-30 00:00:00+00:00,204.9499969482422,206.2899932861328,202.3699951171875,205.8800048828125,201.4215087890625,1962200
2023-08-31 00:00:00+00:00,205.27000427246094,207.8000030517578,203.38999938964844,205.72000122070312,201.26495361328125,3461000
2023-09-01 00:00:00+00:00,207.4199981689453,210.16000366210938,205.32000732421875,209.9600067138672,205.4131317138672,1583400
2023-09-05 00:00:00+00:00,208.8699951171875,210.57000732421875,207.3300018310547,207.57000732421875,203.07489013671875,1443500
2023-09-06 00:00:00+00:00,207.13999938964844,209.94000244140625,205.47999572753906,207.7899932861328,203.2901153564453,1582900
2023-09-07 00:00:00+00:00,203.7899932861328,205.27000427246094,202.11000061035156,204.00999450683594,199.59197998046875,1847200
2023-09-08 00:00:00+00:00,204.00999450683594,205.5,201.91000366210938,203.0500030517578,198.65277099609375,1220100
2023-09-11 00:00:00+00:00,204.86000061035156,205.10000610351562,200.74000549316406,203.5,199.09303283691406,1101800
