iter	RMSE
283	1.888253095
284	1.884677795
285	1.882605177
286	1.878890567
287	1.877568707
288	1.87265885
289	1.869283953
290	1.868243443
291	1.860861244
292	1.856233615
293	1.853751952
294	1.848486898
295	1.846011067
296	1.843798654
297	1.840749344
298	1.83424785
299	1.827468072
300	1.824456298
301	1.820073011
302	1.815741468
303	1.811333817
304	1.807555447
305	1.804209565
306	1.800902515
307	1.795018949
308	1.794232348
309	1.790434335
310	1.789315955
311	1.784722531
312	1.783040316
313	1.779587464
314	1.7769121
315	1.775699094
316	1.770719394
317	1.766828361
318	1.762578437
319	1.758106185
320	1.75426607
321	1.749228618
322	1.747700225
323	1.747074806
324	1.746236981
325	1.745541308
326	1.741568163
327	1.738427939
328	1.737284893
329	1.736152326
330	1.734378649
331	1.730612629
332	1.725822491
333	1.721180379
334	1.718468379
335	1.714779428
336	1.711010431
337	1.709873545
338	1.706220693
339	1.702433578
340	1.701588642
341	1.700735219
342	1.69773875
343	1.697091059
344	1.694167828
345	1.691108912
346	1.688225805
347	1.685001976
348	1.681975999
349	1.679221447
350	1.678474741
351	1.675229553
352	1.67284752
353	1.672181398
354	1.670442916
355	1.666613561
356	1.665424085
357	1.663896077
358	1.660461095
359	1.657659906
360	1.656275419
361	1.653831149
362	1.651503006
363	1.648760123
364	1.647206276
365	1.644778931
366	1.642641466
367	1.642116531
368	1.638426673
369	1.637733067
370	1.634611532
371	1.633606855
372	1.629073388
373	1.626717057
374	1.624298607
375	1.62143586
376	1.620293503
377	1.617387333
378	1.615595579
379	1.612501354
380	1.611284833
381	1.608533593
382	1.607193141
383	1.603186594
384	1.600109238
385	1.599676835
386	1.59708003
387	1.593675529
388	1.59136195
389	1.588863442
390	1.586569074
391	1.585346721
392	1.581752223
393	1.579472107
394	1.579176528
395	1.577950025
396	1.575322579
397	1.574379314
398	1.574153747
399	1.569988038
400	1.567549373
401	1.566470571
402	1.565762929
403	1.565245319
404	1.563959714
405	1.563793885
406	1.562322384
407	1.56165034
408	1.560977289
409	1.557921877
410	1.555574275
411	1.555357239
412	1.554580388
413	1.550485294
414	1.547332979
415	1.546225673
416	1.545461331
417	1.543286292
418	1.541048452
419	1.539010367
420	1.535488858
421	1.53305133
422	1.531641742
423	1.531093099
424	1.530672729
425	1.528506683
426	1.527036829
427	1.525398753
428	1.522373414
429	1.519683501
430	1.517536607
431	1.515514819
432	1.511394403
433	1.509376577
434	1.50725755
435	1.506542795
436	1.505490392
437	1.505280888
438	1.504547916
439	1.504077142
440	1.502508094
441	1.502316854
442	1.501463238
443	1.49904573
444	1.49705163
445	1.495612128
446	1.493786489
447	1.492585996
448	1.48882797
449	1.486138054
450	1.484589065
451	1.483950504
452	1.482557957
453	1.480883868
454	1.479078305
455	1.478638962
456	1.47646537
457	1.475152436
458	1.474617264
459	1.47367678
460	1.471402229
461	1.469636753
462	1.468746698
463	1.466942607
464	1.464777162
465	1.464476211
466	1.464284408
467	1.463736714
468	1.463638508
469	1.461936458
470	1.459716088
471	1.456336667
472	1.455142071
473	1.454063222
474	1.45273991
475	1.450308652
476	1.450202775
477	1.448696245
478	1.447086999
479	1.446542925
480	1.443563689
481	1.44131815
482	1.438479169
483	1.437631752
484	1.437369421
485	1.436546927
486	1.435191415
487	1.433926433
488	1.433693881
489	1.431774267
490	1.43101412
491	1.429413754
492	1.428591426
493	1.427580323
494	1.426247916
495	1.425011151
496	1.424893173
497	1.424801406
498	1.423357478
499	1.421719044
500	1.41961052
501	1.419306886
502	1.419044409
503	1.417946877
504	1.41717924
505	1.416022766
506	1.414308732
507	1.414048947
508	1.413371038
509	1.412158675
510	1.41056167
511	1.410397861
512	1.408710247
513	1.408463249
514	1.40813873
515	1.407977373
516	1.407304307
517	1.406051528
518	1.404967708
519	1.404510534
520	1.404376032
521	1.402913215
522	1.402550174
523	1.401020807
524	1.400145153
525	1.399970811
526	1.399350505
527	1.398304175
528	1.396837433
529	1.39676386
530	1.395276915
531	1.393454618
532	1.39228562
533	1.390373049
534	1.390216209
535	1.389700554
536	1.387666956
537	1.3874724
538	1.387421542
539	1.387305871
540	1.386818081
541	1.386261344
542	1.385296175
543	1.384217646
544	1.383701212
545	1.383204431
546	1.383098265
547	1.38142002
548	1.381289855
549	1.379934316
550	1.379075483
551	1.377841716
552	1.377556159
553	1.376488455
554	1.375624972
555	1.37404369
556	1.373586807
557	1.371575
558	1.369727807
559	1.369312191
560	1.368152446
561	1.365874748
562	1.364849354
563	1.364518473
564	1.362741303
565	1.362096285
566	1.361828927
567	1.359984713
568	1.359737949
569	1.358726292
570	1.356735383
571	1.355274533
572	1.353851905
573	1.352491634
574	1.350904402
575	1.350522852
576	1.348823996
577	1.347241358
578	1.346597277
579	1.346525373
580	1.344989675
581	1.343606385
582	1.343293793
583	1.341520279
584	1.341279708
585	1.340331553
586	1.339540949
587	1.338045755
588	1.335862114
589	1.334902964
590	1.334470214
591	1.333413678
592	1.332158695
593	1.331224427
594	1.330399887
595	1.329763559
596	1.329580869
597	1.328140999
598	1.327002221
599	1.326337394
600	1.326284098
601	1.325174508
602	1.322942726
603	1.321331356
604	1.32041384
605	1.319217083
606	1.318317374
607	1.317602712
608	1.315693768
609	1.315321214
610	1.313672078
611	1.313010491
612	1.312534441
613	1.312417632
614	1.311586262
615	1.310983698
616	1.310015507
617	1.30980142
618	1.309367652
619	1.309315489
620	1.30924347
621	1.307718537
622	1.307638938
623	1.306669709
624	1.304977152
625	1.303826076
626	1.302414929
627	1.301408001
628	1.300238526
629	1.298682896
630	1.297330298
631	1.296450044
632	1.29573624
633	1.294915808
634	1.294137167
635	1.293722618
636	1.293640167
637	1.292649349
638	1.29121771
639	1.289715407
640	1.288808121
641	1.288423822
642	1.286950028
643	1.286450557
644	1.28540338
645	1.285247837
646	1.284063989
647	1.283870869
648	1.283611231
649	1.282878872
650	1.282046577
651	1.280941044
652	1.280875472
653	1.278921118
654	1.278423695
655	1.276637748
656	1.275581489
657	1.275094297
658	1.274312384
659	1.273580718
660	1.273182528
661	1.272206549
662	1.271534573
663	1.2709075
664	1.270071916
665	1.269092852
666	1.268425666
667	1.268125952
668	1.266867914
669	1.266516033
670	1.265756886
671	1.264295748
672	1.262449085
673	1.260965061
674	1.260900409
675	1.259546512
676	1.258309324
677	1.255792591
678	1.254592809
679	1.253968278
680	1.252393875
681	1.252124013
682	1.252077575
683	1.252049317
684	1.250935086
685	1.250292927
686	1.249258148
687	1.248732609
688	1.248182857
689	1.247929685
690	1.24716151
691	1.247126744
692	1.24566525
693	1.244704943
694	1.244027781
695	1.243256123
696	1.242107306
697	1.240675029
698	1.239917468
699	1.238535331
700	1.238247569
701	1.237161793
702	1.236636032
703	1.236098769
704	1.235564993
705	1.23551812
706	1.235059862
707	1.234199815
708	1.234120586
709	1.23397648
710	1.233821581
711	1.232551806
712	1.231341224
713	1.231068171
714	1.230153088
715	1.229083163
716	1.229049211
717	1.228676895
718	1.228598162
719	1.227627062
720	1.226898432
721	1.22632359
722	1.22567561
723	1.225530818
724	1.224626599
725	1.224022925
726	1.223963024
727	1.222747204
728	1.22234072
729	1.221843392
730	1.220766082
731	1.22072406
732	1.220591869
733	1.219707448
734	1.218713146
735	1.218699759
736	1.218619144
737	1.217523107
738	1.216920617
739	1.215787419
740	1.215230233
741	1.214714126
742	1.214641191
743	1.213947202
744	1.213475086
745	1.21243554
746	1.211813098
747	1.210573983
748	1.20991759
749	1.208775916
750	1.208518709
751	1.208503197
752	1.207999598
753	1.207622711
754	1.207409614
755	1.207167531
756	1.206987849
757	1.205921457
758	1.205679042
759	1.205580189
760	1.204545072
761	1.204082873
762	1.203379986
763	1.202187651
764	1.202050785
765	1.201927138
766	1.201851072
767	1.201725304
768	1.201572513
769	1.200618775
770	1.199743199
771	1.198978995
772	1.198510324
773	1.198442225
774	1.197509252
775	1.196466487
776	1.19613718
777	1.195945776
778	1.19593087
779	1.195442209
780	1.19532748
781	1.194399241
782	1.193497771
783	1.193057448
784	1.192291012
785	1.191407915
786	1.190941794
787	1.190764858
788	1.188961867
789	1.18885278
790	1.187944651
791	1.187819584
792	1.187289197
793	1.186892811
794	1.186821116
795	1.186783288
796	1.186364482
797	1.185617816
798	1.18519697
799	1.184579133
800	1.18412071
801	1.183924753
802	1.183679931
803	1.183395569
804	1.18335107
805	1.182684221
806	1.182573235
807	1.181861286
808	1.180240753
809	1.180145353
810	1.179545921
811	1.17937874
812	1.179258317
813	1.178619935
814	1.178199861
815	1.178032227
816	1.177953078
817	1.177850228
818	1.176401902
819	1.176306379
820	1.176129597
821	1.175584609
822	1.174909557
823	1.174374281
824	1.174048295
825	1.174030676
826	1.172930302
827	1.172481028
828	1.172417998
829	1.172235457
830	1.171074082
831	1.169972038
832	1.169284007
833	1.168833582
834	1.168707149
835	1.168673225
836	1.1676975
837	1.167002932
838	1.165953736
839	1.165693371
840	1.164715842
841	1.164098436
842	1.164005686
843	1.163130467
844	1.162928866
845	1.16243619
846	1.162362137
847	1.162033858
848	1.161618656
849	1.161069885
850	1.160410316
851	1.160083805
852	1.159155888
853	1.158427717
854	1.157440154
855	1.157020415
856	1.156511455
857	1.156217617
858	1.155347355
859	1.154620405
860	1.154047238
861	1.153135818
862	1.152329292
863	1.151680617
864	1.151306527
865	1.150577616
866	1.150538716
867	1.150127602
868	1.149864264
869	1.149788753
870	1.149634342
871	1.149349506
872	1.14926557
873	1.149200523
874	1.148308713
875	1.148068955
876	1.147431293
877	1.146792172
878	1.146411563
879	1.145710985
880	1.145548131
881	1.145328989
882	1.144940643
883	1.144355506
884	1.144207338
885	1.143707067
886	1.143593054
887	1.143409713
888	1.14307507
889	1.142836024
890	1.142323826
891	1.142239307
892	1.142023837
893	1.141170926
894	1.141129921
895	1.139931257
896	1.139903378
897	1.139252526
898	1.138435019
899	1.13784465
900	1.13745961
901	1.137397383
902	1.136344555
903	1.134608184
904	1.133711724
905	1.133479868
906	1.133409665
907	1.133301248
908	1.132914144
909	1.132890041
910	1.132061926
911	1.131095923
912	1.130342433
913	1.129957088
914	1.129853989
915	1.129260776
916	1.128949794
917	1.128796126
918	1.127991694
919	1.12755147
920	1.127466733
921	1.127399402
922	1.126782344
923	1.126399281
924	1.126152578
925	1.125913025
926	1.125374713
927	1.125177962
928	1.12502858
929	1.124003621
930	1.123847795
931	1.123410827
932	1.123393859
933	1.122975745
934	1.122832166
935	1.122083807
936	1.121451881
937	1.120850351
938	1.12008096
939	1.119360413
940	1.118603193
941	1.118535408
942	1.118209651
943	1.117931344
944	1.117838897
945	1.117393203
946	1.117045098
947	1.116305464
948	1.116117803
949	1.115974831
950	1.115944008
951	1.11553821
952	1.114538316
953	1.113526698
954	1.112966787
955	1.112691677
956	1.112558026
957	1.112080505
958	1.111327213
959	1.110374996
960	1.109480091
961	1.108750508
962	1.108711222
963	1.108210612
964	1.107517129
965	1.107092848
966	1.106462349
967	1.106283562
968	1.106115817
969	1.105987211
970	1.105900476
971	1.105414056
972	1.105240889
973	1.104473067
974	1.103617371
975	1.102959426
976	1.102870383
977	1.102823782
978	1.102482702
979	1.102429775
980	1.102057897
981	1.101397797
982	1.101075969
983	1.100786031
984	1.099434084
985	1.099126561
986	1.098994225
987	1.098662005
988	1.098576839
989	1.097990322
990	1.097941395
991	1.097020499
992	1.097012328
993	1.096797897
994	1.096316422
995	1.095737906
996	1.095685952
997	1.095577342
998	1.095291916
999	1.094917282
